0,1,2,3
Muda hopes for institutional reform with new cabinet lineup,"KUALA LUMPUR: With the announcement of the fresh Cabinet lineup, Malaysian United Democratic Alliance (Muda) expressed hope that the current lineup will implement institutional reform.",2023-12-13,Politics
Ramkarpal's voluntary resignation to eliminate nepotism,"KUALA LUMPUR: Paving the way for his elder brother, Gobind Singh Deo, Ramkarpal Singh's voluntary move shows DAP's dedication to eliminating nepotism within the party. ",2023-12-13,Politics
Pas veep: Anwar's new cabinet proves earlier promises were empty rhetoric,"KOTA BARU: Pas believes that the Prime Minister’s promises to reduce the size of the cabinet and expenses when he took over the government last year, was just empty rhetoric.",2023-12-13,Politics
Pas issues ultimatum to party reps: Support Anwar and you're out,"KUALA LUMPUR: Pas representatives are warned that they will be dismissed if they provide support to the Prime Minister, Datuk Seri Anwar Ibrahim.",2023-12-12,Politics
Kit Siang must change his style of politics - Kedah Umno Info chief,ALOR STAR: Kedah Umno Information chief Datuk Shaiful Hazizy Zainol Abidin has fired a salvo at DAP veteran Tan Sri Lim Kit Siang over his remarks that the Federal Constitution does not prevent any non-Malay from becoming prime minister.,2023-12-11,Politics
Bersatu confident no more MPs will support Anwar,KUALA LUMPUR: Parti Pribumi Bersatu Malaysia (Bersatu) said no more members of parliament (MP) from their party would declare support for the Prime Minister.,2023-12-11,Politics
Pas: Kit Siang's Malaysian Dream a poisonous propaganda,KUALA LUMPUR: The recent controversial remark by DAP veteran Lim Kit Siang on the ‘Malaysian Dream’ has been dubbed as poisonous propaganda by Pas.,2023-12-11,Politics
Bukit Gantang MP claims 7 or 8 PN MPs will declare their support for Anwar soon,PETALING JAYA: Bukit Gantang member of Parliament (MP) Datuk Syed Abu Hussin Hafiz Syed Abdul Fasal today claimed that several more MPs from Perikatan Nasional (PN) will express their support for Datuk Seri Anwar Ibrahim soon.,2023-12-11,Politics
Ipoh court dismisses Gombak Setia election petition appeal,KUALA LUMPUR: Perikatan Nasional’s Muhammad Hilman Idham will remain as Gombak Setia assemblyman after the Ipoh High Court dismissed an election petition brought by Mohd Shaffie Omar.,2023-12-11,Politics
"Anwar: No more 'tebuk atap' moves, government to remain strong","KUALA LUMPUR: One year on, Prime Minister Datuk Seri Anwar Ibrahim is confident that there will not be any more ‘tebuk atap’ movements to topple the government.  ",2023-12-10,Politics
PH-BN unity at federal level sets stage for Johor DAP-Umno alliance in 16th State Elections,"KLUANG: The unity government coalition parties Pakatan Harapan (PH) Barisan Nasional (BN) collaborations, pave solid groundwork for DAP and Umno Johor to establish a united force in the 16th General Elections.",2023-12-10,Politics
"Support for unity govt from civil servants continues to rise, says Amanah president",SUNGAI BULOH: Perikatan Nasional (PN) is forced to swallow their own words after their narrative that the unity government will collapse after the Aug 12 state elections never materialised.,2023-12-10,Politics
"GRS must contest in all 73 state seats in Sabah, says Pandikar Amin","KOTA KINABALU: Gabungan Rakyat Sabah (GRS) has to contest in all 73 state seats in Sabah, said United Sabah Nasional Organisation (USNO) president Tan Sri Pandikar Amin Mulia.",2023-12-10,Politics
Amanah VP denies faction existence claims,IPOH: Parti Amanah Negara (Amanah) vice-president Datuk Seri Dr Mujahid Yusof Rawa has dismissed claims of existence of a faction within the party. ,2023-12-10,Politics
'Kit Siang did not learn from history',"ALOR STAR: DAP veteran Lim Kit Siang has shown his true colours by saying that the Federal Constitution does not bar non-Malay to be a prime minister, said Umno supreme council member Datuk Hasmuni Hassan.",2023-12-10,Politics
Amanah and PH allies must restore Malay voter support in GE16,SUNGAI BULOH: Parti Amanah Negara (Amanah) alongside its allies in the Pakatan Harapan (PH) pact including DAP must find ways to restore and win the support of the Malay voters in the next general election.,2023-12-10,Politics
PM holds prerogative to appoint new minister,IPOH: The sole authority to determine the appointment of a new Minister of Domestic Trade and Cost of Living to succeed the late Datuk Seri Salahuddin Ayub belongs to Prime Minister Datuk Seri Anwar Ibrahim.,2023-12-10,Politics
"Isham's dismissal finalised by Supreme Council, no need for further investigation, says Zahid","KUALA LUMPUR - The sacking of Hizatul Isham Jalil from Umno last night is an unequivocal decision, says party president Datuk Seri Dr Ahmad Zahid Hamidi.",2023-12-09,Politics
Khaled: Isham was sacked due to him undermining party's integrity,KOTA TINGGI:  Sacked Umno supreme council member Isham Jalil was dismissed from the party because he crossed the line by undermining the party's integrity.,2023-12-09,Politics
'Umno president made unilateral decision; I won't appeal' says sacked Isham,KUALA LUMPUR: Recently sacked Umno Supreme Council member Isham Jalil said that he would not appeal the party’s decision.,2023-12-09,Politics
'Umno president made unilateral decision; I won't appeal' says sacked Isham,KUALA LUMPUR: Recently sacked Umno Supreme Council member Isham Jalil said that he would not appeal the party’s decision.,2023-12-09,Politics
Umno Youth chief cautions Lian Ker not to 'play the race card',"MELAKA: Umno Youth chief, Dr Muhamad Akmal Saleh, cautioned a former MCA leader that the Bumiputera Economic Congress, which has been implemented since the time of the Barisan Nasional (BN) government, has never encroached upon or suppressed the rights of other communities.",2023-12-09,Politics
Isham Jalil confirms sacking from Umno,KUALA LUMPUR: Umno Supreme Council Isham Jalil has confirmed that he has received an official letter of his sacking from the party.,2023-12-09,Politics
Kedah Amanah lodges police report against Hadi for likening Madani govt to Israeli govt,ALOR STAR: Kedah Parti Amanah Negara (Amanah) has lodged a police report against Pas president Tan Sri Abdul Hadi Awang for allegedly likening the Madani government to the Israeli government. ,2023-12-08,Politics
Umno president admits the party is in a weak state,KUALA LUMPUR: Umno president Datuk Seri Dr Ahmad Zahid Hamidi has acknowledged that the party is in a weak state following its defeat in the 2018 General Election. ,2023-12-08,Politics
"Official letter on Isham's sacking will be issued soon, says Zahid","KUALA LUMPUR: Umno will issue an official letter on the sacking of its supreme council member Isham Jalil, which had been decided  on Wednesday.",2023-12-08,Politics
"Official letter on Isham's sacking will be issued soon, says Zahid",news@nst.com.my ,2023-12-08,Politics
Opposition MP support for PM does not violate Anty-Party Hopping Act - Azalina [NSTTV],"KUALA LUMPUR: The action of several Members of Parliament (MPs) from the opposition bloc in pledging their support to Prime Minister Datuk Seri Anwar Ibrahim and the Unity Government recently does not violate the Anti-Party Hopping or the Constitution (Amendment) Act (No.3) 2022 (Act A1663), said Minister in the Prime Minister’s Department (Law and Institutional Reform) Datuk Seri Azalina Othman Said.",2023-12-07,Politics
I resigned to make way for a new leadership - Ahmad,"KUALA TERENGGANU: Former Terengganu Menteri Besar, Datuk Seri Dr Ahmad Said said his decision to resign as the Terengganu Umno liaison committee chairman was made to pave the way for a younger generation to lead the party.",2023-12-07,Politics
"PKR Youth wing lauds decentralising a VC's power in AUKU amendment, but is wary about limiting student council membership",ALOR STAR: PKR’s Youth wing lauded the government’s move to decentralise a university’s vice-chancellor power pertaining to disciplinary action on students as proposed in the University and College Act 1971 (AUKU) amendment 2023 bill.,2023-12-07,Politics
"Umno still commands support of Malay voters, says Kedah Umno info chief","ALOR STAR: Umno has never lost the support of Malay voters as candidates from the party have never lost their deposit either in the general election, state election or by-election. ",2023-12-07,Politics
Onn Hafiz's appointment as Johor Umno head reflects state party's benchmark of excellence,JOHOR BARU: Datuk Onn Hafiz Ghazi’s appointment as Johor Umno liaison committee chairman reflects the state party’s benchmark of excellence.,2023-12-07,Politics
Isham: I have been kicked out of the Umno Supreme Council WhatsApp group,"KUALA LUMPUR: Embattled former Umno information chief Isham Jalil, who was reportedly sacked from the party, said he has yet to receive any notice over his termination.",2023-12-07,Politics
"Zahid is delusional, says Wan Fayhsal",KUALA LUMPUR: A top Perikatan Nasional (PN) leader has told Datuk Seri Dr Ahmad Zahid Hamidi to be prepared for the demise of Umno in the country's political scene.,2023-12-07,Politics
Onn Hafiz is new Johor Umno chief,KUALA LUMPUR: Datuk Onn Hafiz Ghazi has been appointed as the new Johor Umno liaison committee chairman with immediate effect.,2023-12-07,Politics
