title,description,publisheddate,section,site
The $100bn ghost city in southern Malaysia,"The Chinese-built city was supposed to be a thriving, eco-friendly paradise, but there's no one here.",2023-12-11,News,Asia
Forest City: Inside Malaysia's Chinese-built 'ghost city',"Built during the Chinese property boom, Forest City is a stark reminder of the crisis in the sector.",2023-12-05,News,Business
Malaysian killer released from Australian immigration detention,An ex-policeman convicted in a politically charged Malaysia murder has been freed from immigration detention.,2023-11-13,News,Australia
Israel-Gaza: Malaysia will maintain ties with Hamas says PM Anwar Ibrahim,Analysts say Mr Anwar's stand is politically expedient as Palestinians enjoy wide support in Malaysia.,2023-11-08,News,Asia
Matty Healy defends Malaysia kiss during 1975 concert in Dallas,The 1975 frontman read a prepared speech from his phone as the Dallas crowd cheered and applauded.,2023-10-10,News,Entertainment & Arts
"Private jet crashes onto Malaysia highway, killing 10","Investigators are searching for the aircraft's black box, containing its flight data.",2023-08-17,News,Asia
Matty Healy: The 1975 threatened with legal action after Malaysia festival cancellation,The festival was cancelled after the band's singer launched an attack on Malaysia's LGBT laws.,2023-08-07,News,Asia
Matty Healy: Malaysia LGBT community angry at 1975 'white saviour stunt',Locals affected by singer Matty Healy's protest say it did their cause more harm than good.,2023-07-25,News,Asia
The 1975 cancels Indonesia and Taiwan shows after Malaysia LGBT row,The band has cancelled upcoming concerts in Indonesia - where homosexuality is shunned - and Taiwan.,2023-07-23,News,Asia
Matty Healy: Malaysia festival cancelled after The 1975 singer attacks anti-LGBT law,"Matty Healy launched a lengthy attack on Malaysia's laws, before kissing his band's bass player.",2023-07-22,News,Asia
Swatch sues Malaysia over Pride watch seizures,"The move comes after officials impounded 172 watches worth Â£10,700 from its rainbow-coloured Pride collection.",2023-07-17,News,Asia
Jocelyn Chia: US comedian calls Malaysia's reaction to MH370 joke 'ridiculous',"Jocelyn Chia tells the BBC she is not making fun of victims, after Malaysia asked Interpol to locate her.",2023-06-14,News,Asia
MH370 joke: Malaysia asks Interpol to track down comedian,Performer Jocelyn Chia's quip about the missing Malaysian Airlines plane created uproar in Malaysia.,2023-06-13,News,Asia
"Your Place or Mine with Shaun Keaveny: Craig Parkinson: Penang, Malaysia","Craig tempts Shaun with incredible food and culture, but what about the Snake Temple?",2023-06-07,Programmes,BBC Radio 4
Malaysia detains Chinese ship suspected of looting British WW2 wrecks,Malaysia says it has detained a Chinese vessel suspected of raiding two British maritime war graves.,2023-05-30,News,Asia
Malaysia ends mandatory death penalty for serious crimes,"More than 1,300 prisoners on death row can soon seek to have their sentence reviewed.",2023-04-03,News,Asia
Muhyiddin Yassin: Ex-Malaysia PM charged with corruption over Covid spending,Muhyiddin Yassin is charged with corruption over Covid spending ahead of crucial state elections.,2023-03-10,News,Asia
Ex-Goldman Sachs Malaysia boss gets 10 years for 1MDB scheme,The bank's ex-Malaysia head was found guilty last year in one of the world's biggest financial scandals.,2023-03-09,News,Business
Malaysia landslide: At least 21 campers dead and more missing,Children are among the at least 21 people killed after a landslide struck a holiday campsite.,2022-12-16,News,Asia
Malaysia authorities searching for survivors after deadly landslide,Authorities say some people have died after a landslide in Selangor state.,2022-12-16,News,Asia
Tamil Nadu: Indian man's search for father's lost grave ends in Malaysia,The man from Tamil Nadu was six months old when his father died 55 years ago.,2022-12-13,News,India
Anwar Ibrahim: Honeymoon as Malaysian PM will be brutally short,He finally got his dream job - but Anwar Ibrahim faces a divided country and a weak economy.,2022-12-03,News,Asia
Anwar Ibrahim sworn in as Malaysian PM after post-election deadlock,"After a decades-long quest to become prime minister, Mr Anwar has finally risen to the top job.",2022-11-24,News,Asia
Malaysia election: Why isn't there a government yet?,"Two days after the vote, the country's king has had to extend a deadline to form a government.",2022-11-21,News,Asia
Malaysia elects first ever hung parliament,The country is left in political limbo after no coalition gains enough seats to form a government.,2022-11-20,News,Asia
Why is Malaysia deporting Myanmar asylum seekers?,The hardline approach to asylum seekers contrasts with its stand against Myanmar's military regime.,2022-10-25,News,Asia
Mahathir Mohamad: Former Malaysia PM to run for office aged 97,"The veteran politician first entered parliament in 1964, and has been prime minister twice.",2022-10-11,News,Asia
Fat Leonard: Malaysian criminal in US Navy scandal recaptured after jail break,The mastermind of a US navy scam had been on the run in Cuba and Mexico since escaping house arrest.,2022-09-22,News,US & Canada
Queen Elizabeth II: What her death means to Malaysia,Tributes are paid to Queen Elizabeth amid calls for the Commonwealth to be reformed for a new age.,2022-09-14,News,Asia
Fat Leonard: Malaysian businessman linked to US Navy scandal escapes,Leonard Francis is at the heart of the worst corruption scandal to hit the US Navy in modern times.,2022-09-06,News,US & Canada
Rosmah Mansor: Wife of ex-Malaysian PM Najib gets 10 years jail for bribery,"She is known for her lavish tastes, including 272 Hermes bags that were found at the couple's residence.",2022-09-01,News,Asia
Najib Razak: The verdict that sent Malaysia's untouchable ex-PM to prison,The decision to jail Malaysia's Najib Razak has revived faith in the country's discredited courts.,2022-08-27,News,Asia
Najib Razak: Malaysia's ex-PM starts jail term after final appeal fails,Najib earlier denied charges of appropriating millions of dollars from a state-owned wealth fund.,2022-08-23,News,Asia
Chinese rocket debris falls back to Earth over Malaysia,Video from social media is thought to show debris from China's space rocket falling to Earth over Malaysia.,2022-07-31,News,Science & Environment
World Business Report: 1MDB: Ex-Goldman Malaysia boss convicted,Roger Ng was found guilty by a court in the US,2022-04-09,Programmes,BBC World Service
"Malaysia: Boy, 14, believed dead after diving trip",His British father and a French woman are rescued by authorities after two-and-a-half day ordeal.,2022-04-09,News,UK
1MDB scandal: Ex-Goldman Malaysia boss found guilty,Roger Ng had fought the charges that he played a role in the massive 1MDB corruption scheme.,2022-04-08,News,Business
World Business Report: 1MDB: Ex-Goldman Malaysia boss convicted,Roger Ng was found guilty by a court in the US,2022-04-08,Programmes,BBC World Service
British man and son missing after Malaysia diving trip,Malaysian authorities resume a search for three people who went missing during a diving trip.,2022-04-07,News,UK
Malaysia hit by the worst floods in decades,At least 14 people have died and tens of thousands evacuated their homes after torrential rain.,2021-12-21,News,Asia
Malaysia hit by the worst floods in decades,At least 14 people have died and tens of thousands evacuated their homes after torrential rain.,2021-12-21,News,Asia
Malaysia: Death toll rises after massive floods,At least 14 are dead and tens of thousands are displaced by some of the worst floods in decades.,2021-12-21,News,Asia
MH370: Could missing Malaysian Airlines plane finally be found?,A British engineer believes he may help solve one of the world's greatest aviation mysteries.,2021-12-03,News,Business
"'I had to run away', says Malaysian transgender woman",Nur Sajat says she was assaulted in custody in Malaysia after being charged with insulting Islam,2021-11-19,News,Asia
Malaysian transgender woman Nur Sajat: 'I had to run away',Transgender woman Nur Sajat fled Malaysia after being charged with insulting Islam.,2021-11-19,News,Asia
British and Malaysian men jailed in Somalia for terror offences,A military court convicts Darren Anthony Byrnes and a Malaysian man of belonging to al-Shabab.,2021-09-24,News,Africa
Malaysian singer dies of Covid days after giving birth,"Siti Sarah Raisuddin never got to hold her newborn son, who was delivered via a three-hour surgery.",2021-08-10,News,Asia
Anger as Covid-ravaged Malaysia lifts pandemic measures,"It comes as hospitals are overwhelmed, with pictures showing patients sharing oxygen cylinders.",2021-07-28,News,Asia
Bitcoin mining machines steamrolled by Malaysia police,"Officers had seized more than 1,000 Bitcoin mining units allegedly powered by stolen electricity.",2021-07-20,News,Business
Malaysians in Covid lockdown fly white flags to ask for help,The #benderaputih campaign is aimed at giving lower income families a way to signal that they need aid.,2021-07-05,News,Asia
Malaysian casino giant Genting makes $4.3bn bet on Las Vegas,The opening in the US gambling capital comes as the tourism industry has been hit by the pandemic.,2021-06-24,News,Business
Malaysia deports French conspiracy theorist wanted for abduction,French conspiracy theorist RÃ©my Daillet-Wiedemann is wanted over the kidnapping of a child in April.,2021-06-13,News,Europe
South China Sea dispute: Malaysia accuses China of breaching airspace,Fighters jets were scrambled when the Chinese military planes were detected over disputed waters.,2021-06-02,News,Asia
Malaysia High Court rules Christians can use 'Allah',The issue of non-Muslims using the word to refer to God had previously sparked tensions and violence.,2021-03-11,News,Asia
Malaysia deports Myanmar nationals despite court order,Human rights groups have raised concerns about their safety in Myanmar after the military coup.,2021-02-24,News,Asia
Malaysiakini: The upstart that changed Malaysia's media landscape,Malaysiakini faces a hefty fine for carrying readers' comments deemed critical of the judiciary.,2021-02-19,News,Asia
Scoff the Ball: A Taste of Malaysia in Scotland,Tam Cowan speaks to Julie Lin about her traditional Malaysian street-food restaurant.,2021-01-21,Programmes,BBC Radio Scotland
Malaysia declares Covid state of emergency amid political challenges,The king declares an emergency that critics say will allow the government to dodge political challenges.,2021-01-12,News,Asia
NÃ³ra Quoirin: 'Misadventure' verdict for girl found in Malaysian jungle,NÃ³ra Quoirin's family say they are disappointed at the ruling and still think she was abducted.,2021-01-04,News,London
NÃ³ra Quoirin death: The schoolgirl who vanished into a Malaysian jungle,NÃ³ra Quoirin was found naked next to a stream 10 days after arriving for a family holiday.,2021-01-04,News,London
"Covid-19: Couple holds 10,000 people drive-thru wedding in Malaysia",It took three hours for all guests to exchange a wave and smile with the newly-weds in Malaysia.,2020-12-21,News,Asia
Gareth Huntley: Backpacker's Malaysia death 'mysterious',Gareth Huntley's family say not knowing the cause of his death has made losing him even harder.,2020-10-08,News,Leeds & West Yorkshire
US bans Malaysian palm oil producer over forced labour,"Malaysia's FGV Holdings says it has taken ""concrete steps"" to improve its labour standards.",2020-10-01,News,Business
Philips sells Suffolk factory to Malaysia's Guan Chong Berhad,"Guan Chong Berhad says the acquisition of the Suffolk site provides a ""great opportunity"".",2020-09-29,News,Suffolk
Cooking with Paula McIntyre: Malaysian Chicken Curry with Tomato Rice,Spice up the chicken and enjoy with tomato rice on the side,2020-09-19,Programmes,BBC Radio Ulster
Chinese and Malaysian hackers charged by US over attacks,Five Chinese and two Malaysian men are charged by the US over separate alleged hacking plots.,2020-09-16,News,Technology
Malaysian man 'finds' monkey selfies on lost phone,Zackrydz Rodzi says he was stunned to find photos after tracing lost phone to nearby jungle.,2020-09-15,News,Asia
"Go Jetters: Series 3: Funky Fireflies, Selangor River, Malaysia",A trip to see fireflies becomes a rescue when Xuli and Glitch get stuck in a swamp.,2020-09-07,Programmes,CBeebies
"NÃ³ra Quoirin: Window in Malaysian resort was broken, inquest hears","A window handle in the room which NÃ³ra Quoirin went missing from was broken, an inquest hears.",2020-08-27,News,London
NÃ³ra Quoirin: Site of Malaysian body find 'searched several times',An inquest in Malaysia hears police had already combed the site where NÃ³ra Quoirin's body was found.,2020-08-26,News,London
NÃ³ra Quoirin: Malaysia opens inquest into death of London teenager,The 15-year-old vanished from her room during a family holiday last year at a Malaysian resort.,2020-08-24,News,Asia
Samantha Jones avoids death for husband's Malaysia murder,Samantha Jones admits killing her husband but only after years of abuse.,2020-08-03,News,Somerset
Najib Razak: Malaysian ex-PM gets 12-year jail term in 1MDB corruption trial,Najib Razak gets 12 years in jail after he is convicted in a multi-million dollar corruption trial.,2020-07-28,News,Asia
Newsday: Former Malaysian PM guilty of abuse of power,"Live news, business and sport from around the world.",2020-07-28,Programmes,BBC World Service
Newsday: Guilty verdict for former Malaysian prime minister,"Live news, business and sport from around the world.",2020-07-28,Programmes,BBC World Service
Newsday: Najib Razak â former Malaysia PM â handed guilty verdict,"Live news, business and sport from around the world.",2020-07-28,Programmes,BBC World Service
Malaysia arrests Bangladeshi migrant who criticised government on TV,The Bangladeshi man criticised the treatment of undocumented workers during the Covid-19 pandemic.,2020-07-25,News,Asia
Goldman Sachs settles 1MDB scandal with Malaysia for $3.9bn,The US bank will make a cash payment to the Malaysian government as part of the deal.,2020-07-24,News,Business
Malaysia detains 270 Rohingya refugees who had drifted at sea for weeks,"Rohingya refugees had been stranded offshore for weeks, unable to dock because of Covid-19 lockdown.",2020-06-09,News,Asia
1MDB: Malaysia drops charges against Wolf of Wall Street producer,"Riza Aziz, producer of the Wolf of Wall Street, was caught up in the 1MDB state fund scandal.",2020-05-14,News,Asia
Malaysia migrant raids 'to reduce Covid-19 spread',Police in protective suits detained hundreds of undocumented people in Kuala Lumpur.,2020-05-02,News,Asia
How Malaysiaâs government collapsed in two years,Malaysia's ruling alliance - once celebrated as a force for historic change - has collapsed. Why?,2020-03-05,News,Asia
"Malaysia gets new PM, Muhyiddin Yassin, after week of turmoil",Muhyiddin Yassin has been sworn in after the unexpected resignation of 94-year-old Mahathir Mohamad.,2020-03-01,News,Asia
Fireball meteor lights up night sky over Malaysia,"A dashcam captures the moment a meteor illuminates the night sky in Johor Bahru, Malaysia.",2020-02-21,News,Asia
The Documentary Podcast: Polygamous marriage in modern Malaysia,"All sorts of Muslims, some very dynamic and modern, are embracing polygamy in Malaysia",2020-02-04,Programmes,BBC World Service
The Documentary: Shifting Cultures: Polygamous marriage in modern Malaysia,"All sorts of Muslims, some very dynamic and modern, are embracing polygamy in Malaysia.",2020-02-01,Programmes,BBC World Service
Malaysia returns 42 containers of 'illegal' plastic waste to UK,"Malaysia will not become ""the garbage dump of the world"", says the country's environment minister.",2020-01-20,News,UK
Nora Quoirin: Parents determined to find answers over Malaysia death,Nora Quoirin's family say that many serious questions remain about her disappearance.,2019-12-17,News,London
Malaysia's straight edge punk scene,"Khai Aziz, lead singer of Second Combat, doesn't need drink or drugs to set a stage alight.",2019-11-30,News,Entertainment & Arts
Inside Malaysia's straight edge punk scene,"Khai Aziz, lead singer of Second Combat, says convincing people of his no-drink, no-drugs lifestyle is challenging.",2019-11-29,News,Entertainment & Arts
Malaysia grants reprieve to Australian 'love scam' drug mule,Maria Exposto says she was tricked into transporting drugs after falling for an online romance scam.,2019-11-26,News,Australia
Malaysia's last known Sumatran rhino dies,"The species is now extinct in Malaysia, with fewer than 100 animals believed to exist elsewhere.",2019-11-23,News,Asia
Mujahid Yusof Rawa: Malaysia needs a new narrative of Islam,"Malaysia's Minister for Islamic affairs says his government is proposing ""compassionate Islamâ.",2019-11-13,News,Asia
HARDtalk: Minister for Islamic Affairs in Malaysia -Mujahid Yusof Rawa,Are racial and religious divides threatening Malaysiaâs stability and future prospects?,2019-11-13,Programmes,BBC World Service
