title,description,publisheddate,section,site
The $100bn ghost city in southern Malaysia,"The Chinese-built city was supposed to be a thriving, eco-friendly paradise, but there's no one here.",15 hours ago,News,Asia
Snoop Dogg & an ex-Wolves midfielder - meet Malaysia's 'Invincibles' Johor Darul Ta'zim,Former Wolves midfielder Hong Wan has moved from the Premier League to Malaysia's 'Invincibles' Johor Darul Ta'zim.,2 days ago,Sport,Football
Forest City: Inside Malaysia's Chinese-built 'ghost city',"Built during the Chinese property boom, Forest City is a stark reminder of the crisis in the sector.",6 days ago,News,Business
Malaysian killer released from Australian immigration detention,An ex-policeman convicted in a politically charged Malaysia murder has been freed from immigration detention.,13 November,News,Australia
MotoGP: Enea Bastianini claims first race win of 2023 at Malaysian Grand Prix,Ducati's Enea Bastianini claims his first race victory of the MotoGP season as he wins the Malaysian Grand Prix ahead of Alex Marquez on Sunday.,12 November,Sport,Motorsport
Israel-Gaza: Malaysia will maintain ties with Hamas says PM Anwar Ibrahim,Analysts say Mr Anwar's stand is politically expedient as Palestinians enjoy wide support in Malaysia.,8 November,News,Asia
Matty Healy defends Malaysia kiss during 1975 concert in Dallas,The 1975 frontman read a prepared speech from his phone as the Dallas crowd cheered and applauded.,10 October,News,Entertainment & Arts
"Private jet crashes onto Malaysia highway, killing 10","Investigators are searching for the aircraft's black box, containing its flight data.",17 August,News,Asia
Matty Healy: The 1975 threatened with legal action after Malaysia festival cancellation,The festival was cancelled after the band's singer launched an attack on Malaysia's LGBT laws.,7 August,News,Asia
T20 World Cup qualifier: Malaysia bowler sets record with 7-8 against China,Malaysia bowler Syazrul Idrus sets a men's T20 record of seven wickets for eight runs against China in their 2024 World Cup Asia B Qualifier.,27 July,Sport,Cricket
Matty Healy: Malaysia LGBT community angry at 1975 'white saviour stunt',Locals affected by singer Matty Healy's protest say it did their cause more harm than good.,25 July,News,Asia
The 1975 cancels Indonesia and Taiwan shows after Malaysia LGBT row,The band has cancelled upcoming concerts in Indonesia - where homosexuality is shunned - and Taiwan.,23 July,News,Asia
Matty Healy: Malaysia festival cancelled after The 1975 singer attacks anti-LGBT law,"Matty Healy launched a lengthy attack on Malaysia's laws, before kissing his band's bass player.",22 July,News,Asia
