,publisheddate,sentiment,count,score
0,2012-01-06,Positive,1.0,1.0
1,2013-05-01,Neutral,1.0,1.0
2,,,,
3,2017-05-31,Neutral,1.0,1.0
4,2017-06-01,Negative,2.0,-1.0
5,2017-06-02,Negative,1.0,-2.0
6,2017-06-03,Positive,1.0,-1.0
7,2017-06-08,Negative,1.0,-2.0
8,2017-06-16,Negative,1.0,-3.0
9,2017-06-19,Negative,1.0,-4.0
10,2017-06-30,Positive,1.0,-3.0
11,2017-07-05,Negative,1.0,-4.0
12,2017-07-05,Neutral,1.0,-4.0
13,2017-07-20,Neutral,1.0,-4.0
14,2017-07-27,Negative,1.0,-5.0
15,2017-08-07,Neutral,1.0,-5.0
16,2017-08-15,Positive,1.0,-4.0
17,2017-08-21,Negative,2.0,-6.0
18,2017-09-06,Neutral,1.0,-6.0
19,2017-09-14,Negative,1.0,-7.0
20,2017-10-02,Negative,1.0,-8.0
21,2017-10-20,Negative,1.0,-9.0
22,2017-10-24,Negative,1.0,-10.0
23,2017-11-01,Neutral,1.0,-10.0
24,2017-12-14,Negative,1.0,-11.0
25,2017-12-24,Negative,1.0,-12.0
26,2017-12-27,Negative,1.0,-13.0
27,2018-01-08,Neutral,1.0,-13.0
28,2018-01-18,Neutral,1.0,-13.0
29,2018-01-19,Neutral,1.0,-13.0
30,2018-01-30,Neutral,1.0,-13.0
31,2018-02-14,Negative,1.0,-14.0
32,2018-02-15,Negative,1.0,-15.0
33,2018-02-18,Negative,1.0,-16.0
34,2018-03-16,Negative,1.0,-17.0
35,2018-03-26,Negative,1.0,-18.0
36,2018-04-12,Neutral,1.0,-18.0
37,2018-04-21,Negative,1.0,-19.0
38,2018-05-05,Neutral,1.0,-19.0
39,2018-05-07,Negative,1.0,-20.0
40,2018-05-07,Positive,1.0,-19.0
41,2018-05-08,Neutral,1.0,-19.0
42,2018-05-08,Positive,1.0,-18.0
43,2018-05-09,Neutral,1.0,-18.0
44,2018-05-10,Neutral,4.0,-18.0
45,2018-05-10,Positive,1.0,-17.0
46,2018-05-11,Neutral,1.0,-17.0
47,2018-05-12,Negative,1.0,-18.0
48,2018-05-12,Positive,1.0,-17.0
49,2018-05-14,Positive,1.0,-16.0
50,2018-05-16,Neutral,1.0,-16.0
51,2018-05-16,Positive,1.0,-15.0
52,2018-05-17,Neutral,1.0,-15.0
53,2018-05-18,Negative,1.0,-16.0
54,2018-05-18,Neutral,1.0,-16.0
55,2018-05-19,Negative,1.0,-17.0
56,2018-05-24,Negative,1.0,-18.0
57,2018-05-24,Positive,2.0,-16.0
58,2018-05-25,Neutral,1.0,-16.0
59,2018-06-07,Negative,1.0,-17.0
60,2018-06-11,Positive,1.0,-16.0
61,2018-06-25,Neutral,1.0,-16.0
62,2018-06-27,Neutral,1.0,-16.0
63,2018-06-27,Positive,2.0,-14.0
64,2018-07-01,Negative,1.0,-15.0
65,2018-07-03,Negative,2.0,-17.0
66,2018-07-04,Negative,1.0,-18.0
67,2018-07-31,Negative,1.0,-19.0
68,2018-08-08,Negative,1.0,-20.0
69,2018-08-21,Negative,1.0,-21.0
70,2018-09-03,Neutral,1.0,-21.0
71,2018-09-14,Negative,1.0,-22.0
72,2018-09-20,Negative,1.0,-23.0
73,2018-10-02,Negative,2.0,-25.0
74,2018-10-03,Neutral,1.0,-25.0
75,2018-10-04,Neutral,1.0,-25.0
76,2018-10-31,Negative,1.0,-26.0
77,2018-11-04,Negative,1.0,-27.0
78,2018-11-04,Neutral,4.0,-27.0
79,2018-11-12,Negative,1.0,-28.0
80,2018-11-12,Neutral,4.0,-28.0
81,2018-11-26,Neutral,1.0,-28.0
82,2018-12-17,Negative,1.0,-29.0
83,2019-01-06,Neutral,1.0,-29.0
84,2019-01-16,Negative,1.0,-30.0
85,2019-01-23,Negative,1.0,-31.0
86,2019-01-23,Neutral,1.0,-31.0
87,2019-01-24,Neutral,1.0,-31.0
88,2019-01-31,Neutral,1.0,-31.0
89,2019-02-05,Negative,1.0,-32.0
90,2019-02-11,Negative,1.0,-33.0
91,2019-02-12,Negative,1.0,-34.0
92,2019-02-13,Neutral,1.0,-34.0
93,2019-03-14,Negative,1.0,-35.0
94,2019-04-03,Negative,2.0,-37.0
95,2019-04-04,Neutral,1.0,-37.0
96,2019-05-07,Neutral,1.0,-37.0
97,2019-05-28,Negative,2.0,-39.0
98,2019-05-28,Neutral,1.0,-39.0
99,2019-05-30,Neutral,1.0,-39.0
100,2019-06-10,Negative,2.0,-41.0
101,2019-06-20,Negative,1.0,-42.0
102,2019-06-25,Negative,1.0,-43.0
103,2019-06-26,Neutral,2.0,-43.0
104,2019-07-04,Negative,1.0,-44.0
